x	y	c
0	 0	 0.799325
1	 0	 0.722417
2	 0	 0.580761
3	 0	 0.406602
4	 0	 0.271698
5	 0	 0.203711
6	 0	 0.180217
7	 0	 0.176283
8	 0	 0.178877
9	 0	 0.182112
10	 0	 0.183446
11	 0	 0.182555
12	 0	 0.180641
13	 0	 0.179413
14	 0	 0.180396
15	 0	 0.184809
16	 0	 0.193391
17	 0	 0.205682
18	 0	 0.218802
19	 0	 0.227056
20	 0	 0.22553
21	 0	 0.215183
22	 0	 0.202865
23	 0	 0.198824
24	 0	 0.2197
25	 0	 0.297771
26	 0	 0.463618
27	 0	 0.659619
28	 0	 0.780034
29	 0	 0.825964
30	 0	 0.837326
31	 0	 0.830283
0	 1	 0.830475
1	 1	 0.792801
2	 1	 0.703794
3	 1	 0.54892
4	 1	 0.373731
5	 1	 0.251152
6	 1	 0.195558
7	 1	 0.177939
8	 1	 0.174834
9	 1	 0.175726
10	 1	 0.176798
11	 1	 0.17719
12	 1	 0.177519
13	 1	 0.179297
14	 1	 0.184679
15	 1	 0.19578
16	 1	 0.212471
17	 1	 0.229994
18	 1	 0.240186
19	 1	 0.236714
20	 1	 0.220277
21	 1	 0.198597
22	 1	 0.180426
23	 1	 0.171891
24	 1	 0.182325
25	 1	 0.238924
26	 1	 0.389039
27	 1	 0.608
28	 1	 0.761985
29	 1	 0.823606
30	 1	 0.841649
31	 1	 0.842746
0	 2	 0.84402
1	 2	 0.827685
2	 2	 0.781671
3	 2	 0.675908
4	 2	 0.5033
5	 2	 0.329901
6	 2	 0.22689
7	 2	 0.186878
8	 2	 0.175512
9	 2	 0.17357
10	 2	 0.174004
11	 2	 0.175045
12	 2	 0.177438
13	 2	 0.184065
14	 2	 0.200315
15	 2	 0.232052
16	 2	 0.277214
17	 2	 0.319806
18	 2	 0.339294
19	 2	 0.324976
20	 2	 0.282776
21	 2	 0.232435
22	 2	 0.193519
23	 2	 0.173302
24	 2	 0.174334
25	 2	 0.215063
26	 2	 0.34415
27	 2	 0.566413
28	 2	 0.744395
29	 2	 0.819738
30	 2	 0.84277
31	 2	 0.847759
0	 3	 0.850166
1	 3	 0.843683
2	 3	 0.821946
3	 3	 0.760498
4	 3	 0.623732
5	 3	 0.428319
6	 3	 0.273696
7	 3	 0.202514
8	 3	 0.179319
9	 3	 0.173499
10	 3	 0.172947
11	 3	 0.174652
12	 3	 0.18027
13	 3	 0.196542
14	 3	 0.2372
15	 3	 0.315066
16	 3	 0.415772
17	 3	 0.498377
18	 3	 0.532173
19	 3	 0.507793
20	 3	 0.430963
21	 3	 0.327959
22	 3	 0.24063
23	 3	 0.192181
24	 3	 0.179437
25	 3	 0.207993
26	 3	 0.319045
27	 3	 0.534715
28	 3	 0.728351
29	 3	 0.815636
30	 3	 0.842986
31	 3	 0.850153
0	 4	 0.853198
1	 4	 0.850954
2	 4	 0.840576
3	 4	 0.80566
4	 4	 0.7075
5	 4	 0.519292
6	 4	 0.325839
7	 4	 0.221559
8	 4	 0.184676
9	 4	 0.174385
10	 4	 0.172716
11	 4	 0.175395
12	 4	 0.18606
13	 4	 0.218696
14	 4	 0.300523
15	 4	 0.442931
16	 4	 0.592208
17	 4	 0.687941
18	 4	 0.721322
19	 4	 0.699772
20	 4	 0.618587
21	 4	 0.478887
22	 4	 0.327672
23	 4	 0.229187
24	 4	 0.192746
25	 4	 0.20824
26	 4	 0.302857
27	 4	 0.506392
28	 4	 0.710574
29	 4	 0.810159
30	 4	 0.84244
31	 4	 0.851411
0	 5	 0.854559
1	 5	 0.854109
2	 5	 0.848392
3	 5	 0.825738
4	 5	 0.751574
5	 5	 0.579176
6	 5	 0.366218
7	 5	 0.237391
8	 5	 0.189259
9	 5	 0.175211
10	 5	 0.172638
11	 5	 0.176537
12	 5	 0.193442
13	 5	 0.246717
14	 5	 0.37551
15	 5	 0.567205
16	 5	 0.720633
17	 5	 0.794257
18	 5	 0.815768
19	 5	 0.804009
20	 5	 0.749186
21	 5	 0.622548
22	 5	 0.434854
23	 5	 0.280211
24	 5	 0.211234
25	 5	 0.210639
26	 5	 0.28744
27	 5	 0.472946
28	 5	 0.684349
29	 5	 0.799984
30	 5	 0.839962
31	 5	 0.851544
0	 6	 0.854082
1	 6	 0.854513
2	 6	 0.850038
3	 6	 0.830529
4	 6	 0.763428
5	 6	 0.597838
6	 6	 0.380299
7	 6	 0.243146
8	 6	 0.190744
9	 6	 0.175101
10	 6	 0.172118
11	 6	 0.177043
12	 6	 0.199334
13	 6	 0.270616
14	 6	 0.435267
15	 6	 0.647184
16	 6	 0.781826
17	 6	 0.83321
18	 6	 0.846489
19	 6	 0.840765
20	 6	 0.807793
21	 6	 0.711157
22	 6	 0.522754
23	 6	 0.329055
24	 6	 0.228958
25	 6	 0.211425
26	 6	 0.268084
27	 6	 0.427501
28	 6	 0.640272
29	 6	 0.778466
30	 6	 0.832443
31	 6	 0.849273
0	 7	 0.849406
1	 7	 0.850813
2	 7	 0.845218
3	 7	 0.821482
4	 7	 0.745448
5	 7	 0.573019
6	 7	 0.363025
7	 7	 0.236166
8	 7	 0.188232
9	 7	 0.173707
10	 7	 0.170821
11	 7	 0.176036
12	 7	 0.200681
13	 7	 0.280982
14	 7	 0.463026
15	 7	 0.680081
16	 7	 0.801896
17	 7	 0.843264
18	 7	 0.853374
19	 7	 0.849877
20	 7	 0.826014
21	 7	 0.746498
22	 7	 0.566583
23	 7	 0.356645
24	 7	 0.238502
25	 7	 0.208266
26	 7	 0.244378
27	 7	 0.368789
28	 7	 0.568774
29	 7	 0.733228
30	 7	 0.812106
31	 7	 0.840437
0	 8	 0.832072
1	 8	 0.836087
2	 8	 0.826698
3	 8	 0.789795
4	 8	 0.689963
5	 8	 0.506389
6	 8	 0.320795
7	 8	 0.219914
8	 8	 0.1829
9	 8	 0.171386
10	 8	 0.168827
11	 8	 0.173358
12	 8	 0.196578
13	 8	 0.275073
14	 8	 0.457558
15	 8	 0.677911
16	 8	 0.800866
17	 8	 0.841964
18	 8	 0.851737
19	 8	 0.847909
20	 8	 0.823314
21	 8	 0.742269
22	 8	 0.561521
23	 8	 0.353282
24	 8	 0.235973
25	 8	 0.201419
26	 8	 0.220132
27	 8	 0.30439
28	 8	 0.468316
29	 8	 0.646494
30	 8	 0.760864
31	 8	 0.812698
0	 9	 0.777199
1	 9	 0.788613
2	 9	 0.772804
3	 9	 0.713957
4	 9	 0.587279
5	 9	 0.41109
6	 9	 0.269907
7	 9	 0.201784
8	 9	 0.177161
9	 9	 0.168925
10	 9	 0.166542
11	 9	 0.169627
12	 9	 0.188679
13	 9	 0.257216
14	 9	 0.42728
15	 9	 0.651256
16	 9	 0.787005
17	 9	 0.834485
18	 9	 0.845071
19	 9	 0.837643
20	 9	 0.802184
21	 9	 0.701207
22	 9	 0.51121
23	 9	 0.32216
24	 9	 0.223671
25	 9	 0.193495
26	 9	 0.200745
27	 9	 0.248396
28	 9	 0.356824
29	 9	 0.511427
30	 9	 0.650057
31	 9	 0.736137
0	 10	 0.641471
1	 10	 0.666474
2	 10	 0.648784
3	 10	 0.577559
4	 10	 0.453109
5	 10	 0.318562
6	 10	 0.229188
7	 10	 0.188651
8	 10	 0.173195
9	 10	 0.16704
10	 10	 0.164403
11	 10	 0.165761
12	 10	 0.179836
13	 10	 0.235279
14	 10	 0.38536
15	 10	 0.609435
16	 10	 0.763645
17	 10	 0.821392
18	 10	 0.831896
19	 10	 0.814236
20	 10	 0.753356
21	 10	 0.618079
22	 10	 0.426951
23	 10	 0.276871
24	 10	 0.208194
25	 10	 0.187641
26	 10	 0.189604
27	 10	 0.211859
28	 10	 0.26693
29	 10	 0.362594
30	 10	 0.478015
31	 10	 0.577517
0	 11	 0.440657
1	 11	 0.474137
2	 11	 0.471681
3	 11	 0.424874
4	 11	 0.343754
5	 11	 0.263084
6	 11	 0.210599
7	 11	 0.184441
8	 11	 0.172323
9	 11	 0.16613
10	 11	 0.162641
11	 11	 0.162446
12	 11	 0.172474
13	 11	 0.216556
14	 11	 0.346045
15	 11	 0.564101
16	 11	 0.734235
17	 11	 0.801549
18	 11	 0.807114
19	 11	 0.766478
20	 11	 0.663396
21	 11	 0.497815
22	 11	 0.333022
23	 11	 0.234595
24	 11	 0.196167
25	 11	 0.185956
26	 11	 0.18688
27	 11	 0.195701
28	 11	 0.217161
29	 11	 0.257927
30	 11	 0.317401
31	 11	 0.383711
0	 12	 0.291937
1	 12	 0.324658
2	 12	 0.346571
3	 12	 0.342998
4	 12	 0.309697
5	 12	 0.26238
6	 12	 0.220803
7	 12	 0.192591
8	 12	 0.175926
9	 12	 0.166513
10	 12	 0.161282
11	 12	 0.159977
12	 12	 0.168001
13	 12	 0.205819
14	 12	 0.321276
15	 12	 0.529457
16	 12	 0.704961
17	 12	 0.773904
18	 12	 0.763571
